condition	replicate	edge_id	parent	child	seed
very_low	1	E001	root	N01	111001
very_low	1	E002	N01	N02	111002
very_low	1	E003	N02	N03	111003
very_low	1	E004	N03	S01	111004
very_low	1	E005	N03	S02	111005
very_low	1	E006	N02	N04	111006
very_low	1	E007	N04	S03	111007
very_low	1	E008	N04	S04	111008
very_low	1	E009	N01	N05	111009
very_low	1	E010	N05	N06	111010
very_low	1	E011	N06	S05	111011
very_low	1	E012	N06	S06	111012
very_low	1	E013	N05	N07	111013
very_low	1	E014	N07	S07	111014
very_low	1	E015	N07	S08	111015
very_low	1	E016	root	N08	111016
very_low	1	E017	N08	N09	111017
very_low	1	E018	N09	N10	111018
very_low	1	E019	N10	S09	111019
very_low	1	E020	N10	S10	111020
very_low	1	E021	N09	N11	111021
very_low	1	E022	N11	S11	111022
very_low	1	E023	N11	S12	111023
very_low	1	E024	N08	N12	111024
very_low	1	E025	N12	N13	111025
very_low	1	E026	N13	S13	111026
very_low	1	E027	N13	S14	111027
very_low	1	E028	N12	N14	111028
very_low	1	E029	N14	S15	111029
very_low	1	E030	N14	S16	111030
low	1	E001	root	N01	121001
low	1	E002	N01	N02	121002
low	1	E003	N02	N03	121003
low	1	E004	N03	S01	121004
low	1	E005	N03	S02	121005
low	1	E006	N02	N04	121006
low	1	E007	N04	S03	121007
low	1	E008	N04	S04	121008
low	1	E009	N01	N05	121009
low	1	E010	N05	N06	121010
low	1	E011	N06	S05	121011
low	1	E012	N06	S06	121012
low	1	E013	N05	N07	121013
low	1	E014	N07	S07	121014
low	1	E015	N07	S08	121015
low	1	E016	root	N08	121016
low	1	E017	N08	N09	121017
low	1	E018	N09	N10	121018
low	1	E019	N10	S09	121019
low	1	E020	N10	S10	121020
low	1	E021	N09	N11	121021
low	1	E022	N11	S11	121022
low	1	E023	N11	S12	121023
low	1	E024	N08	N12	121024
low	1	E025	N12	N13	121025
low	1	E026	N13	S13	121026
low	1	E027	N13	S14	121027
low	1	E028	N12	N14	121028
low	1	E029	N14	S15	121029
low	1	E030	N14	S16	121030
normal	1	E001	root	N01	131001
normal	1	E002	N01	N02	131002
normal	1	E003	N02	N03	131003
normal	1	E004	N03	S01	131004
normal	1	E005	N03	S02	131005
normal	1	E006	N02	N04	131006
normal	1	E007	N04	S03	131007
normal	1	E008	N04	S04	131008
normal	1	E009	N01	N05	131009
normal	1	E010	N05	N06	131010
normal	1	E011	N06	S05	131011
normal	1	E012	N06	S06	131012
normal	1	E013	N05	N07	131013
normal	1	E014	N07	S07	131014
normal	1	E015	N07	S08	131015
normal	1	E016	root	N08	131016
normal	1	E017	N08	N09	131017
normal	1	E018	N09	N10	131018
normal	1	E019	N10	S09	131019
normal	1	E020	N10	S10	131020
normal	1	E021	N09	N11	131021
normal	1	E022	N11	S11	131022
normal	1	E023	N11	S12	131023
normal	1	E024	N08	N12	131024
normal	1	E025	N12	N13	131025
normal	1	E026	N13	S13	131026
normal	1	E027	N13	S14	131027
normal	1	E028	N12	N14	131028
normal	1	E029	N14	S15	131029
normal	1	E030	N14	S16	131030
high	1	E001	root	N01	141001
high	1	E002	N01	N02	141002
high	1	E003	N02	N03	141003
high	1	E004	N03	S01	141004
high	1	E005	N03	S02	141005
high	1	E006	N02	N04	141006
high	1	E007	N04	S03	141007
high	1	E008	N04	S04	141008
high	1	E009	N01	N05	141009
high	1	E010	N05	N06	141010
high	1	E011	N06	S05	141011
high	1	E012	N06	S06	141012
high	1	E013	N05	N07	141013
high	1	E014	N07	S07	141014
high	1	E015	N07	S08	141015
high	1	E016	root	N08	141016
high	1	E017	N08	N09	141017
high	1	E018	N09	N10	141018
high	1	E019	N10	S09	141019
high	1	E020	N10	S10	141020
high	1	E021	N09	N11	141021
high	1	E022	N11	S11	141022
high	1	E023	N11	S12	141023
high	1	E024	N08	N12	141024
high	1	E025	N12	N13	141025
high	1	E026	N13	S13	141026
high	1	E027	N13	S14	141027
high	1	E028	N12	N14	141028
high	1	E029	N14	S15	141029
high	1	E030	N14	S16	141030
very_high	1	E001	root	N01	151001
very_high	1	E002	N01	N02	151002
very_high	1	E003	N02	N03	151003
very_high	1	E004	N03	S01	151004
very_high	1	E005	N03	S02	151005
very_high	1	E006	N02	N04	151006
very_high	1	E007	N04	S03	151007
very_high	1	E008	N04	S04	151008
very_high	1	E009	N01	N05	151009
very_high	1	E010	N05	N06	151010
very_high	1	E011	N06	S05	151011
very_high	1	E012	N06	S06	151012
very_high	1	E013	N05	N07	151013
very_high	1	E014	N07	S07	151014
very_high	1	E015	N07	S08	151015
very_high	1	E016	root	N08	151016
very_high	1	E017	N08	N09	151017
very_high	1	E018	N09	N10	151018
very_high	1	E019	N10	S09	151019
very_high	1	E020	N10	S10	151020
very_high	1	E021	N09	N11	151021
very_high	1	E022	N11	S11	151022
very_high	1	E023	N11	S12	151023
very_high	1	E024	N08	N12	151024
very_high	1	E025	N12	N13	151025
very_high	1	E026	N13	S13	151026
very_high	1	E027	N13	S14	151027
very_high	1	E028	N12	N14	151028
very_high	1	E029	N14	S15	151029
very_high	1	E030	N14	S16	151030
