condition	replicate	edge_id	parent	child	seed	run_dir	status	child_fasta
very_low	1	E001	root	N01	111001	runs/very_low/rep_001/E001_root_to_N01	skipped_existing	data/node_fastas/very_low/rep_001/N01.fa
very_low	1	E002	N01	N02	111002	runs/very_low/rep_001/E002_N01_to_N02	skipped_existing	data/node_fastas/very_low/rep_001/N02.fa
very_low	1	E003	N02	N03	111003	runs/very_low/rep_001/E003_N02_to_N03	skipped_existing	data/node_fastas/very_low/rep_001/N03.fa
very_low	1	E004	N03	S01	111004	runs/very_low/rep_001/E004_N03_to_S01	skipped_existing	data/node_fastas/very_low/rep_001/S01.fa
very_low	1	E005	N03	S02	111005	runs/very_low/rep_001/E005_N03_to_S02	skipped_existing	data/node_fastas/very_low/rep_001/S02.fa
very_low	1	E006	N02	N04	111006	runs/very_low/rep_001/E006_N02_to_N04	skipped_existing	data/node_fastas/very_low/rep_001/N04.fa
very_low	1	E007	N04	S03	111007	runs/very_low/rep_001/E007_N04_to_S03	skipped_existing	data/node_fastas/very_low/rep_001/S03.fa
very_low	1	E008	N04	S04	111008	runs/very_low/rep_001/E008_N04_to_S04	skipped_existing	data/node_fastas/very_low/rep_001/S04.fa
very_low	1	E009	N01	N05	111009	runs/very_low/rep_001/E009_N01_to_N05	skipped_existing	data/node_fastas/very_low/rep_001/N05.fa
very_low	1	E010	N05	N06	111010	runs/very_low/rep_001/E010_N05_to_N06	skipped_existing	data/node_fastas/very_low/rep_001/N06.fa
very_low	1	E011	N06	S05	111011	runs/very_low/rep_001/E011_N06_to_S05	skipped_existing	data/node_fastas/very_low/rep_001/S05.fa
very_low	1	E012	N06	S06	111012	runs/very_low/rep_001/E012_N06_to_S06	skipped_existing	data/node_fastas/very_low/rep_001/S06.fa
very_low	1	E013	N05	N07	111013	runs/very_low/rep_001/E013_N05_to_N07	skipped_existing	data/node_fastas/very_low/rep_001/N07.fa
very_low	1	E014	N07	S07	111014	runs/very_low/rep_001/E014_N07_to_S07	completed	data/node_fastas/very_low/rep_001/S07.fa
very_low	1	E015	N07	S08	111015	runs/very_low/rep_001/E015_N07_to_S08	completed	data/node_fastas/very_low/rep_001/S08.fa
very_low	1	E016	root	N08	111016	runs/very_low/rep_001/E016_root_to_N08	completed	data/node_fastas/very_low/rep_001/N08.fa
very_low	1	E017	N08	N09	111017	runs/very_low/rep_001/E017_N08_to_N09	completed	data/node_fastas/very_low/rep_001/N09.fa
very_low	1	E018	N09	N10	111018	runs/very_low/rep_001/E018_N09_to_N10	completed	data/node_fastas/very_low/rep_001/N10.fa
very_low	1	E019	N10	S09	111019	runs/very_low/rep_001/E019_N10_to_S09	completed	data/node_fastas/very_low/rep_001/S09.fa
very_low	1	E020	N10	S10	111020	runs/very_low/rep_001/E020_N10_to_S10	completed	data/node_fastas/very_low/rep_001/S10.fa
very_low	1	E021	N09	N11	111021	runs/very_low/rep_001/E021_N09_to_N11	completed	data/node_fastas/very_low/rep_001/N11.fa
very_low	1	E022	N11	S11	111022	runs/very_low/rep_001/E022_N11_to_S11	completed	data/node_fastas/very_low/rep_001/S11.fa
