edge_id	parent	child	depth	branch_generations	is_tip
E001	root	N01	1	10000	false
E002	N01	N02	2	10000	false
E003	N02	N03	3	10000	false
E004	N03	S01	4	10000	true
E005	N03	S02	4	10000	true
E006	N02	N04	3	10000	false
E007	N04	S03	4	10000	true
E008	N04	S04	4	10000	true
E009	N01	N05	2	10000	false
E010	N05	N06	3	10000	false
E011	N06	S05	4	10000	true
E012	N06	S06	4	10000	true
E013	N05	N07	3	10000	false
E014	N07	S07	4	10000	true
E015	N07	S08	4	10000	true
E016	root	N08	1	10000	false
E017	N08	N09	2	10000	false
E018	N09	N10	3	10000	false
E019	N10	S09	4	10000	true
E020	N10	S10	4	10000	true
E021	N09	N11	3	10000	false
E022	N11	S11	4	10000	true
E023	N11	S12	4	10000	true
E024	N08	N12	2	10000	false
E025	N12	N13	3	10000	false
E026	N13	S13	4	10000	true
E027	N13	S14	4	10000	true
E028	N12	N14	3	10000	false
E029	N14	S15	4	10000	true
E030	N14	S16	4	10000	true
