condition	replicate	tip	length
very_low	1	S01	2996
very_low	1	S02	3022
very_low	1	S03	3004
very_low	1	S04	3039
very_low	1	S05	3025
very_low	1	S06	2951
very_low	1	S07	2904
very_low	1	S08	3107
very_low	1	S09	2871
very_low	1	S10	2869
very_low	1	S11	2871
very_low	1	S12	2971
very_low	1	S13	2948
very_low	1	S14	2935
very_low	1	S15	3057
very_low	1	S16	2937
low	1	S01	3113
low	1	S02	3027
low	1	S03	2973
low	1	S04	2943
low	1	S05	3037
low	1	S06	3045
low	1	S07	3088
low	1	S08	2957
low	1	S09	2958
low	1	S10	3030
low	1	S11	2841
low	1	S12	2830
low	1	S13	2964
low	1	S14	2959
low	1	S15	2912
low	1	S16	2938
normal	1	S01	2957
normal	1	S02	2905
normal	1	S03	2852
normal	1	S04	2846
normal	1	S05	2898
normal	1	S06	2892
normal	1	S07	2884
normal	1	S08	2916
normal	1	S09	2962
normal	1	S10	2893
normal	1	S11	2935
normal	1	S12	2890
normal	1	S13	2798
normal	1	S14	2913
normal	1	S15	2963
normal	1	S16	2906
high	1	S01	2585
high	1	S02	2578
high	1	S03	2328
high	1	S04	2529
high	1	S05	2517
high	1	S06	2126
high	1	S07	2317
high	1	S08	2249
high	1	S09	1993
high	1	S10	2152
high	1	S11	2332
high	1	S12	2205
high	1	S13	2210
high	1	S14	2051
high	1	S15	2180
high	1	S16	2144
very_high	1	S01	697
very_high	1	S02	640
very_high	1	S03	727
very_high	1	S04	684
very_high	1	S05	762
very_high	1	S06	755
very_high	1	S07	785
very_high	1	S08	646
very_high	1	S09	1014
very_high	1	S10	914
very_high	1	S11	1044
very_high	1	S12	875
very_high	1	S13	840
very_high	1	S14	809
very_high	1	S15	956
very_high	1	S16	873
