method	condition	replicate	tree	true_split_count	inferred_split_count	matching_splits	missing_splits	extra_splits	rf_distance	normalized_rf	negative_branch_lengths
mash_bionj	very_low	rep_001	results/phylo/mash_bionj/very_low/rep_001/inferred_tree.nwk	13	13	13	0	0	0	0.000000	0
mash_bionj	low	rep_001	results/phylo/mash_bionj/low/rep_001/inferred_tree.nwk	13	13	13	0	0	0	0.000000	0
mash_bionj	normal	rep_001	results/phylo/mash_bionj/normal/rep_001/inferred_tree.nwk	13	13	8	5	5	10	0.384615	0
mash_bionj	high	rep_001	results/phylo/mash_bionj/high/rep_001/inferred_tree.nwk	13	13	5	8	8	16	0.615385	1
mash_bionj	very_high	rep_001	results/phylo/mash_bionj/very_high/rep_001/inferred_tree.nwk	13	13	3	10	10	20	0.769231	0
mafft_iqtree	very_low	rep_001	results/phylo/mafft_iqtree/very_low/rep_001/inferred_tree.nwk	13	13	13	0	0	0	0.000000	0
mafft_iqtree	low	rep_001	results/phylo/mafft_iqtree/low/rep_001/inferred_tree.nwk	13	13	13	0	0	0	0.000000	0
mafft_iqtree	normal	rep_001	results/phylo/mafft_iqtree/normal/rep_001/inferred_tree.nwk	13	13	13	0	0	0	0.000000	0
mafft_iqtree	high	rep_001	results/phylo/mafft_iqtree/high/rep_001/inferred_tree.nwk	13	13	11	2	2	4	0.153846	0
mafft_iqtree	very_high	rep_001	results/phylo/mafft_iqtree/very_high/rep_001/inferred_tree.nwk	13	13	7	6	6	12	0.461538	0
mauve_iqtree	very_low	rep_001	results/phylo/mauve_iqtree/very_low/rep_001/inferred_tree.nwk	13	13	13	0	0	0	0.000000	0
mauve_iqtree	low	rep_001	results/phylo/mauve_iqtree/low/rep_001/inferred_tree.nwk	13	13	13	0	0	0	0.000000	0
mauve_iqtree	normal	rep_001	results/phylo/mauve_iqtree/normal/rep_001/inferred_tree.nwk	13	13	12	1	1	2	0.076923	0
